timestamp,tipo,origen,detalle
19:43:18,advertencia,supervisor,Torneo finalizado desde el dashboard
19:43:18,informe,tablero_pc14_mesa1,Empate · judador_pc14_mgn00034_02 contra judador_pc14_mgn00034_01 · 9 turnos
19:43:18,solicitud,tablero_pc14_mesa1,Informe de partida solicitado
19:43:18,presencia,tablero_tablero_pc14_mesa1,Partida finalizada
19:43:18,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: jugando → finished
19:43:13,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: waiting → jugando
19:43:11,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: finished → waiting
19:43:06,informe,tablero_pc14_mesa1,Empate · judador_pc14_mgn00034_01 contra judador_pc14_mgn00034_02 · 9 turnos
19:43:06,solicitud,tablero_pc14_mesa1,Informe de partida solicitado
19:43:05,presencia,tablero_tablero_pc14_mesa1,Partida finalizada
19:43:05,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: jugando → finished
19:43:02,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: waiting → jugando
19:42:57,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: finished → waiting
19:42:52,informe,tablero_pc14_mesa1,Empate · judador_pc14_mgn00034_02 contra judador_pc14_mgn00034_01 · 9 turnos
19:42:52,solicitud,tablero_pc14_mesa1,Informe de partida solicitado
19:42:52,presencia,tablero_tablero_pc14_mesa1,Partida finalizada
19:42:52,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: jugando → finished
19:42:48,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: waiting → jugando
19:42:47,entrada,judador_pc14_mgn00034_01,Se ha unido a la sala (jugador)
19:42:46,entrada,judador_pc14_mgn00034_02,Se ha unido a la sala (jugador)
19:42:45,presencia,tablero_tablero_pc14_mesa1,Cambio de estado: chat → waiting
19:42:44,entrada,tablero_tablero_pc14_mesa1,Se ha unido a la sala (tablero)
